date,m-1,m0,m1,m2,m3,m4,hm0,fp,tp,dp,sprp,tm02,tm,e,v,Qp,hs,ts,h10,hmax,tz,thmax,hmaxhs,corr_H,corr_T
2009-04-25 00:00:00,-0.04,0.34,0.04,0.01,0.00,0.00,2.33,0.10,10.40,92.56,50.52,7.26,8.02,0.99,0.47,1.66,2.24,9.46,3.01,3.49,7.43,12.50,1.56,0.26,0.20
2009-04-25 01:00:00,-0.04,0.30,0.04,0.01,0.00,0.00,2.20,0.10,10.40,83.19,59.18,6.98,7.73,0.99,0.48,1.56,1.99,8.71,2.61,3.53,7.08,9.37,1.78,0.21,0.01
2009-04-25 02:00:00,-0.04,0.32,0.04,0.01,0.00,0.00,2.26,0.10,10.40,77.86,57.69,7.18,7.98,0.99,0.49,1.59,2.13,9.38,2.76,3.50,7.34,8.59,1.64,0.06,0.16
2009-04-25 03:00:00,-0.04,0.28,0.04,0.01,0.00,0.00,2.13,0.10,10.40,93.38,53.64,6.92,7.74,0.99,0.50,1.46,1.98,9.47,2.63,3.46,7.01,8.59,1.75,0.25,0.06
2009-04-25 04:00:00,-0.03,0.26,0.03,0.01,0.00,0.00,2.06,0.10,10.40,102.71,52.97,6.80,7.60,0.99,0.50,1.36,1.94,8.98,2.45,3.07,7.14,12.50,1.59,0.04,0.01
2009-04-25 05:00:00,-0.03,0.23,0.03,0.01,0.00,0.00,1.92,0.10,10.40,79.94,65.02,6.66,7.43,0.99,0.49,1.40,1.82,9.11,2.23,2.64,7.30,5.47,1.45,0.21,0.19
2009-04-25 06:00:00,-0.03,0.25,0.03,0.01,0.00,0.00,1.99,0.10,10.40,103.34,51.60,6.74,7.52,0.99,0.49,1.60,1.90,8.69,2.51,4.95,6.47,8.60,2.61,0.17,0.07
2009-04-25 07:00:00,-0.03,0.27,0.03,0.01,0.00,0.00,2.08,0.10,9.65,100.07,45.17,6.88,7.70,0.99,0.50,1.58,1.93,9.22,2.58,3.85,6.84,11.72,2.00,0.32,0.20
2009-04-25 08:00:00,-0.03,0.24,0.03,0.01,0.00,0.00,1.97,0.10,10.40,91.02,49.75,6.78,7.56,0.99,0.49,1.44,1.76,8.76,2.22,3.32,6.63,10.16,1.89,0.16,-0.05
2009-04-25 09:00:00,-0.03,0.22,0.03,0.00,0.00,0.00,1.89,0.10,10.40,97.95,49.34,6.80,7.55,0.99,0.48,1.54,1.78,8.81,2.24,2.91,7.23,11.72,1.64,0.07,-0.03
2009-04-25 10:00:00,-0.03,0.23,0.03,0.01,0.00,0.00,1.94,0.10,10.40,80.86,47.47,6.66,7.42,0.99,0.49,1.50,1.81,8.77,2.35,3.26,6.79,12.50,1.80,0.11,0.15
2009-04-25 11:00:00,-0.03,0.25,0.03,0.01,0.00,0.00,1.99,0.10,10.40,81.80,57.44,6.81,7.58,0.99,0.49,1.39,1.83,9.05,2.32,2.93,6.75,11.72,1.60,0.21,0.07
2009-04-25 12:00:00,-0.03,0.25,0.03,0.01,0.00,0.00,2.00,0.10,9.65,83.51,55.55,6.78,7.49,0.99,0.47,1.50,1.85,8.72,2.49,3.18,6.95,9.38,1.72,0.31,0.15
2009-04-25 13:00:00,-0.05,0.37,0.05,0.01,0.00,0.00,2.43,0.10,9.65,79.08,56.93,7.21,8.02,0.99,0.49,1.42,2.29,9.17,3.10,5.73,7.34,10.16,2.50,0.26,0.05
