date,m-1,m0,m1,m2,m3,m4,hm0,fp,tp,dp,sprp,tm02,tm,e,v,Qp,hs,ts,h10,hmax,tz,thmax,hmaxhs,corr_H,corr_T
2014-09-06 00:00:00,-0.01,0.04,0.01,0.00,0.00,0.00,0.77,0.09,11.26,163.43,46.14,4.74,5.84,0.98,0.72,1.48,0.67,7.55,0.88,1.12,5.13,9.38,1.67,0.29,0.20
2014-09-06 01:00:00,-0.01,0.05,0.01,0.00,0.00,0.00,0.93,0.10,9.65,164.89,27.20,5.30,6.40,0.98,0.68,2.06,0.84,8.58,1.04,1.47,6.30,7.81,1.75,0.42,0.37
2014-09-06 02:00:00,-0.01,0.05,0.01,0.00,0.00,0.00,0.88,0.09,11.26,163.55,31.69,5.38,6.40,0.98,0.64,1.56,0.82,8.20,0.99,1.16,5.89,9.38,1.42,0.24,0.20
2014-09-06 03:00:00,-0.01,0.05,0.01,0.00,0.00,0.00,0.88,0.11,9.01,156.58,27.91,5.12,6.18,0.98,0.68,1.70,0.81,8.07,0.97,1.22,5.74,8.59,1.51,0.28,0.27
2014-09-06 04:00:00,-0.01,0.05,0.01,0.00,0.00,0.00,0.93,0.10,9.65,164.21,34.62,5.29,6.23,0.98,0.62,1.63,0.85,7.87,1.08,1.28,5.67,7.03,1.51,0.28,0.25
2014-09-06 05:00:00,-0.01,0.05,0.01,0.00,0.00,0.00,0.90,0.09,11.26,173.72,43.25,5.35,6.35,0.98,0.64,1.58,0.82,8.15,1.02,1.25,5.86,8.59,1.52,0.23,0.34
2014-09-06 06:00:00,-0.01,0.06,0.01,0.00,0.00,0.00,0.96,0.09,11.26,207.69,40.94,4.93,5.95,0.98,0.68,1.49,0.88,7.89,1.10,1.57,5.34,7.81,1.79,0.21,0.27
2014-09-06 07:00:00,-0.01,0.05,0.01,0.00,0.00,0.00,0.91,0.09,11.26,195.24,53.44,4.98,6.09,0.98,0.71,1.52,0.83,8.16,1.02,1.26,5.81,7.81,1.52,0.21,0.19
2014-09-06 08:00:00,-0.01,0.06,0.01,0.00,0.00,0.00,0.99,0.10,9.65,190.02,34.95,5.88,7.00,0.99,0.65,2.04,0.90,8.77,1.15,1.51,6.42,10.93,1.68,0.33,0.29
2014-09-06 09:00:00,-0.01,0.04,0.01,0.00,0.00,0.00,0.82,0.10,10.40,193.85,36.27,4.85,6.00,0.98,0.73,1.67,0.77,8.13,0.95,1.11,5.65,8.60,1.45,0.19,0.13
2014-09-06 10:00:00,-0.01,0.03,0.01,0.00,0.00,0.00,0.75,0.09,11.26,170.18,27.29,5.39,6.67,0.98,0.73,1.89,0.68,8.89,0.87,1.08,6.02,9.38,1.59,0.34,0.26
