date,m-1,m0,m1,m2,m3,m4,hm0,fp,tp,dp,sprp,tm02,tm,e,v,Qp,hs,ts,h10,hmax,tz,thmax,hmaxhs,corr_H,corr_T
2012-07-12 00:00:00,-0.03,0.19,0.03,0.01,0.00,0.00,1.74,0.10,9.65,137.34,29.32,5.80,6.58,0.99,0.54,1.95,1.66,8.43,2.10,2.83,6.17,9.38,1.71,0.36,0.28
2012-07-12 01:00:00,-0.03,0.20,0.03,0.01,0.00,0.00,1.79,0.10,10.40,137.98,34.44,6.17,6.98,0.99,0.53,2.07,1.67,8.55,2.04,2.50,6.64,7.82,1.50,0.32,0.29
2012-07-12 02:00:00,-0.03,0.25,0.03,0.01,0.00,0.00,2.01,0.10,9.65,134.70,29.91,6.54,7.31,0.99,0.50,2.36,1.89,8.84,2.39,3.35,6.85,8.59,1.77,0.40,0.30
2012-07-12 03:00:00,-0.03,0.20,0.03,0.01,0.00,0.00,1.80,0.10,10.40,140.06,45.57,6.26,7.08,0.99,0.53,2.28,1.70,8.79,2.12,2.36,6.48,7.03,1.39,0.39,0.33
2012-07-12 04:00:00,-0.03,0.20,0.03,0.01,0.00,0.00,1.77,0.10,9.65,132.24,38.39,6.15,6.91,0.99,0.51,1.91,1.69,8.58,1.99,2.51,6.85,9.38,1.49,0.23,0.26
2012-07-12 05:00:00,-0.03,0.18,0.03,0.00,0.00,0.00,1.72,0.10,9.65,135.91,32.69,6.09,6.90,0.99,0.53,2.00,1.65,8.62,2.14,2.81,6.77,9.37,1.70,0.31,0.29
2012-07-12 06:00:00,-0.03,0.24,0.03,0.01,0.00,0.00,1.95,0.10,10.40,144.83,41.48,6.21,7.01,0.99,0.52,1.96,1.89,8.83,2.29,2.92,6.64,9.37,1.55,0.34,0.12
2012-07-12 07:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.87,0.10,10.40,165.45,44.18,5.95,6.73,0.99,0.53,1.85,1.68,8.15,2.05,2.62,6.18,9.38,1.56,0.09,0.15
2012-07-12 08:00:00,-0.03,0.21,0.03,0.01,0.00,0.00,1.82,0.10,10.40,155.84,45.73,5.92,6.66,0.99,0.51,1.79,1.68,8.05,2.19,3.13,6.35,9.37,1.86,0.25,0.18
2012-07-12 09:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.87,0.10,10.40,146.72,41.28,5.96,6.71,0.99,0.52,2.00,1.77,8.55,2.08,2.56,6.50,10.16,1.45,0.29,0.32
2012-07-12 10:00:00,-0.03,0.21,0.03,0.01,0.00,0.00,1.85,0.10,9.65,134.65,39.12,6.05,6.70,0.99,0.48,2.02,1.79,8.38,2.17,2.66,6.56,9.38,1.49,0.47,0.32
2012-07-12 11:00:00,-0.03,0.21,0.03,0.01,0.00,0.00,1.84,0.10,9.65,131.22,39.63,6.05,6.80,0.99,0.51,2.01,1.70,8.33,2.13,2.60,6.55,6.26,1.53,0.37,0.30
2012-07-12 12:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.88,0.10,9.65,139.30,31.40,6.23,6.94,0.99,0.49,2.13,1.74,8.50,2.20,2.85,6.78,9.37,1.64,0.14,0.11
2012-07-12 13:00:00,-0.03,0.19,0.03,0.01,0.00,0.00,1.73,0.10,9.65,142.96,40.14,5.99,6.74,0.99,0.52,2.02,1.72,8.45,2.20,3.07,6.75,8.60,1.79,0.24,0.23
2012-07-12 14:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.88,0.10,9.65,144.88,34.52,6.43,7.19,0.99,0.50,2.50,1.77,8.74,2.33,3.23,6.54,9.38,1.82,0.46,0.34
2012-07-12 15:00:00,-0.03,0.17,0.03,0.00,0.00,0.00,1.65,0.11,9.01,135.56,36.74,6.01,6.61,0.99,0.46,1.84,1.59,8.00,1.90,2.37,6.51,6.25,1.49,0.27,0.11
2012-07-12 16:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.87,0.10,9.65,139.22,38.52,6.34,7.02,0.99,0.47,2.03,1.77,8.54,2.18,2.66,6.73,7.82,1.50,0.30,0.26
2012-07-12 17:00:00,-0.03,0.25,0.03,0.01,0.00,0.00,2.01,0.10,9.65,149.49,36.70,6.76,7.56,0.99,0.50,2.68,1.87,9.01,2.40,3.34,7.28,9.37,1.79,0.46,0.15
2012-07-12 18:00:00,-0.03,0.24,0.03,0.01,0.00,0.00,1.96,0.10,9.65,139.69,35.18,6.35,7.13,0.99,0.51,2.26,1.82,8.39,2.31,3.25,6.54,8.59,1.79,0.35,0.28
2012-07-12 19:00:00,-0.03,0.25,0.03,0.01,0.00,0.00,2.00,0.10,9.65,144.37,31.77,6.42,7.22,0.99,0.51,2.18,1.86,8.93,2.28,2.98,6.97,9.38,1.60,0.39,0.31
2012-07-12 20:00:00,-0.04,0.27,0.04,0.01,0.00,0.00,2.07,0.10,9.65,143.17,38.04,6.17,6.98,0.99,0.53,2.37,1.90,8.74,2.30,2.81,6.42,7.81,1.48,0.39,0.24
2012-07-12 21:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.88,0.10,10.40,157.97,35.68,5.82,6.51,0.99,0.50,1.60,1.70,7.98,2.09,2.51,6.48,8.60,1.48,0.21,0.04
2012-07-12 22:00:00,-0.04,0.26,0.04,0.01,0.00,0.00,2.04,0.10,9.65,145.26,33.66,6.17,6.92,0.99,0.51,2.26,1.93,8.61,2.48,3.19,6.43,9.38,1.65,0.48,0.17
2012-07-12 23:00:00,-0.04,0.25,0.04,0.01,0.00,0.00,2.02,0.10,10.40,161.60,40.74,5.80,6.53,0.99,0.52,1.84,1.85,8.30,2.35,3.23,6.09,7.03,1.75,0.26,0.10
2012-07-13 00:00:00,-0.04,0.26,0.04,0.01,0.00,0.00,2.03,0.10,9.65,131.05,33.35,6.30,7.05,0.99,0.50,2.19,1.92,8.70,2.28,2.74,6.83,7.81,1.43,0.38,0.29
2012-07-13 01:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.89,0.10,9.65,139.30,35.23,6.14,6.79,0.99,0.47,1.83,1.77,8.36,2.15,2.61,6.59,7.03,1.48,0.39,0.38
2012-07-13 02:00:00,-0.03,0.25,0.03,0.01,0.00,0.00,2.01,0.10,9.65,151.03,30.87,6.57,7.24,0.99,0.47,2.33,1.89,8.32,2.25,2.58,6.98,7.82,1.37,0.19,0.18
2012-07-13 03:00:00,-0.03,0.23,0.03,0.01,0.00,0.00,1.94,0.10,9.65,134.34,33.43,6.34,6.99,0.99,0.46,1.84,1.84,8.42,2.23,2.78,6.72,8.60,1.51,0.28,0.22
2012-07-13 04:00:00,-0.03,0.23,0.03,0.01,0.00,0.00,1.90,0.13,7.95,131.33,30.12,6.02,6.67,0.99,0.48,1.65,1.84,7.89,2.22,2.52,6.28,7.82,1.37,0.18,0.12
2012-07-13 05:00:00,-0.04,0.24,0.04,0.01,0.00,0.00,1.97,0.10,9.65,138.36,32.14,5.87,6.65,0.99,0.54,1.66,1.83,8.00,2.32,2.90,6.14,7.82,1.59,0.21,0.15
2012-07-13 06:00:00,-0.05,0.30,0.05,0.01,0.00,0.00,2.19,0.10,9.65,141.78,32.60,5.82,6.44,0.99,0.48,1.55,2.00,7.57,2.43,3.02,6.19,7.81,1.51,0.21,0.04
2012-07-13 07:00:00,-0.06,0.39,0.06,0.01,0.00,0.00,2.50,0.13,7.51,131.81,26.41,6.06,6.65,0.99,0.45,1.87,2.33,7.39,2.87,3.59,5.99,7.81,1.54,0.23,0.16
2012-07-13 08:00:00,-0.05,0.34,0.05,0.01,0.00,0.00,2.33,0.16,6.14,141.47,33.95,5.67,6.22,0.98,0.45,1.64,2.17,7.16,2.68,3.06,5.84,8.60,1.41,0.33,0.11
2012-07-13 09:00:00,-0.05,0.36,0.05,0.01,0.00,0.00,2.41,0.10,9.65,133.68,32.21,6.09,6.76,0.99,0.48,1.74,2.32,8.42,2.88,3.52,6.49,7.81,1.52,0.13,0.10
2012-07-13 10:00:00,-0.06,0.36,0.06,0.01,0.00,0.00,2.41,0.14,7.11,126.41,31.22,6.01,6.56,0.99,0.44,1.90,2.20,7.58,2.78,3.57,6.21,8.59,1.63,0.37,0.13
2012-07-13 11:00:00,-0.05,0.33,0.05,0.01,0.00,0.00,2.30,0.13,7.95,124.19,28.47,5.78,6.37,0.98,0.46,1.93,2.14,7.44,2.55,2.92,6.10,6.25,1.37,0.08,0.08
2012-07-13 12:00:00,-0.06,0.41,0.06,0.01,0.00,0.00,2.56,0.11,9.01,122.07,26.88,6.35,7.01,0.99,0.47,1.68,2.46,8.29,2.92,3.73,6.67,12.50,1.52,0.32,0.12
2012-07-13 13:00:00,-0.06,0.43,0.06,0.01,0.00,0.00,2.62,0.10,9.65,129.86,31.53,6.27,6.91,0.99,0.46,1.64,2.37,7.59,3.01,3.67,6.23,8.59,1.55,0.19,0.14
2012-07-13 14:00:00,-0.06,0.37,0.06,0.01,0.00,0.00,2.45,0.10,9.65,134.96,34.16,5.89,6.49,0.99,0.46,1.65,2.22,7.40,2.71,3.70,6.10,7.81,1.67,0.18,0.17
2012-07-13 15:00:00,-0.05,0.35,0.05,0.01,0.00,0.00,2.37,0.14,7.11,121.98,30.96,5.93,6.52,0.99,0.46,1.59,2.26,7.70,2.76,3.71,6.33,8.60,1.64,0.17,-0.05
2012-07-13 16:00:00,-0.05,0.30,0.05,0.01,0.00,0.00,2.21,0.08,12.29,194.62,25.23,5.81,6.51,0.99,0.51,1.61,2.14,7.94,2.65,3.72,6.27,7.81,1.74,0.15,0.19
2012-07-13 17:00:00,-0.05,0.36,0.05,0.01,0.00,0.00,2.39,0.13,7.51,125.08,35.52,5.96,6.56,0.99,0.46,1.60,2.19,7.46,2.69,3.68,6.35,7.03,1.68,0.22,0.07
2012-07-13 18:00:00,-0.05,0.34,0.05,0.01,0.00,0.00,2.33,0.13,7.51,131.60,30.50,5.83,6.41,0.99,0.46,1.65,2.18,7.80,2.87,4.20,6.07,6.25,1.93,0.35,0.22
2012-07-13 19:00:00,-0.05,0.36,0.05,0.01,0.00,0.00,2.40,0.13,7.95,127.03,29.88,6.06,6.64,0.99,0.45,1.74,2.24,7.79,2.72,3.14,6.13,8.59,1.40,0.28,0.10
2012-07-13 20:00:00,-0.05,0.35,0.05,0.01,0.00,0.00,2.37,0.12,8.45,132.88,31.41,6.23,6.83,0.99,0.45,1.66,2.18,7.79,2.69,3.26,6.31,7.03,1.49,0.18,0.28
2012-07-13 21:00:00,-0.05,0.32,0.05,0.01,0.00,0.00,2.28,0.13,7.95,126.56,30.63,6.11,6.72,0.99,0.46,1.96,2.06,8.04,2.51,2.95,6.34,7.82,1.43,0.27,0.06
2012-07-13 22:00:00,-0.06,0.38,0.06,0.01,0.00,0.00,2.47,0.15,6.76,120.71,29.93,6.23,6.84,0.99,0.45,1.70,2.31,7.96,2.74,3.43,6.78,7.03,1.48,0.10,0.16
2012-07-13 23:00:00,-0.05,0.36,0.05,0.01,0.00,0.00,2.39,0.12,8.45,125.36,25.95,6.22,6.74,0.99,0.42,2.09,2.20,7.79,2.83,3.37,6.32,7.03,1.53,0.19,0.17
2012-07-14 00:00:00,-0.04,0.29,0.04,0.01,0.00,0.00,2.15,0.11,9.01,129.92,35.06,6.03,6.67,0.99,0.47,1.58,1.98,7.92,2.49,3.16,6.09,7.81,1.60,0.21,0.11
2012-07-14 01:00:00,-0.05,0.31,0.05,0.01,0.00,0.00,2.23,0.11,9.01,130.12,27.20,6.14,6.76,0.99,0.46,1.86,2.02,7.89,2.49,3.47,6.47,8.59,1.72,0.14,0.08
2012-07-14 02:00:00,-0.04,0.29,0.04,0.01,0.00,0.00,2.15,0.11,9.01,128.86,28.27,6.39,7.19,0.99,0.52,1.84,1.98,8.45,2.54,3.59,6.45,7.03,1.81,0.38,0.21
2012-07-14 03:00:00,-0.05,0.32,0.05,0.01,0.00,0.00,2.27,0.11,9.01,132.37,27.58,6.35,7.04,0.99,0.48,1.89,2.11,8.37,2.60,3.32,6.48,8.59,1.57,0.29,0.21
2012-07-14 04:00:00,-0.05,0.32,0.05,0.01,0.00,0.00,2.29,0.08,12.29,174.75,28.82,6.51,7.18,0.99,0.47,1.71,2.09,8.95,2.71,3.19,6.90,10.94,1.53,0.38,0.22
2012-07-14 05:00:00,-0.04,0.27,0.04,0.01,0.00,0.00,2.07,0.13,7.95,117.86,26.63,6.34,7.02,0.99,0.48,1.68,1.98,8.64,2.35,2.64,6.73,10.15,1.33,0.13,0.24
2012-07-14 06:00:00,-0.04,0.32,0.04,0.01,0.00,0.00,2.26,0.11,9.01,126.29,30.35,6.52,7.14,0.99,0.45,1.84,2.13,8.59,2.67,3.20,6.71,9.38,1.50,0.36,0.22
2012-07-14 07:00:00,-0.04,0.29,0.04,0.01,0.00,0.00,2.17,0.10,9.65,130.21,28.85,6.55,7.22,0.99,0.47,2.00,2.02,8.57,2.41,2.81,6.87,9.37,1.39,0.36,0.23
2012-07-14 08:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.90,0.11,9.01,133.85,27.13,6.36,7.05,0.99,0.47,1.70,1.80,8.40,2.28,2.94,6.85,10.16,1.63,0.23,0.15
2012-07-14 09:00:00,-0.04,0.28,0.04,0.01,0.00,0.00,2.11,0.12,8.45,128.59,33.56,6.63,7.30,0.99,0.46,1.94,1.97,8.37,2.48,3.03,6.81,7.81,1.54,0.23,0.19
2012-07-14 10:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.90,0.10,9.65,125.46,27.39,6.28,6.99,0.99,0.49,2.02,1.79,8.49,2.20,2.56,6.85,7.03,1.43,0.29,0.28
2012-07-14 11:00:00,-0.04,0.27,0.04,0.01,0.00,0.00,2.08,0.11,9.01,122.93,25.66,6.50,7.24,0.99,0.49,1.91,1.98,8.54,2.31,2.61,6.76,7.82,1.32,0.16,0.20
2012-07-14 12:00:00,-0.04,0.28,0.04,0.01,0.00,0.00,2.11,0.11,9.01,124.63,28.27,6.35,7.01,0.99,0.47,1.89,1.93,8.31,2.34,3.39,6.78,7.82,1.75,0.24,0.14
2012-07-14 13:00:00,-0.04,0.28,0.04,0.01,0.00,0.00,2.11,0.12,8.45,138.12,29.16,6.41,7.14,0.99,0.49,2.00,1.90,8.58,2.45,3.05,6.63,8.59,1.60,0.34,0.19
2012-07-14 14:00:00,-0.03,0.20,0.03,0.01,0.00,0.00,1.81,0.09,11.26,181.76,40.29,5.98,6.73,0.99,0.52,1.68,1.62,8.16,2.08,2.56,6.20,10.16,1.58,0.31,0.25
2012-07-14 15:00:00,-0.03,0.24,0.03,0.01,0.00,0.00,1.96,0.11,9.01,137.26,35.04,6.29,7.01,0.99,0.49,1.96,1.84,7.97,2.31,2.86,6.54,9.38,1.55,0.29,0.13
2012-07-14 16:00:00,-0.03,0.23,0.03,0.01,0.00,0.00,1.94,0.10,9.65,134.30,29.48,6.25,7.03,0.99,0.51,1.92,1.89,8.74,2.36,2.85,6.63,8.60,1.51,0.36,0.25
2012-07-14 17:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.87,0.09,11.26,167.82,36.30,6.35,7.15,0.99,0.52,1.98,1.76,8.86,2.10,2.71,6.66,7.03,1.54,0.39,0.40
2012-07-14 18:00:00,-0.03,0.22,0.03,0.01,0.00,0.00,1.89,0.11,9.01,124.80,27.15,6.33,7.02,0.99,0.48,1.99,1.86,8.53,2.41,3.42,6.91,8.59,1.84,0.32,0.25
2012-07-14 19:00:00,-0.03,0.23,0.03,0.01,0.00,0.00,1.92,0.12,8.45,133.89,33.06,6.40,7.11,0.99,0.48,2.07,1.79,8.62,2.23,2.97,6.63,9.38,1.66,0.31,0.19
2012-07-14 20:00:00,-0.02,0.16,0.02,0.00,0.00,0.00,1.62,0.10,10.40,148.16,39.78,5.75,6.59,0.98,0.56,1.69,1.52,8.33,1.92,2.40,6.04,9.38,1.58,0.32,0.16
2012-07-14 21:00:00,-0.03,0.23,0.03,0.01,0.00,0.00,1.92,0.11,9.01,139.66,26.12,6.33,7.12,0.99,0.52,2.45,1.79,8.62,2.27,2.78,6.16,7.82,1.55,0.48,0.38
2012-07-14 22:00:00,-0.03,0.19,0.03,0.01,0.00,0.00,1.74,0.10,9.65,131.84,32.76,5.93,6.70,0.99,0.53,1.77,1.65,8.20,1.95,2.17,6.37,8.59,1.31,0.26,0.22
2012-07-14 23:00:00,-0.03,0.21,0.03,0.01,0.00,0.00,1.85,0.10,9.65,139.23,39.59,5.78,6.56,0.98,0.54,1.93,1.76,8.49,2.20,2.64,6.07,7.03,1.50,0.28,0.14
2012-07-15 00:00:00,-0.04,0.26,0.04,0.01,0.00,0.00,2.03,0.12,8.45,131.94,29.18,5.81,6.53,0.99,0.51,1.81,1.82,7.80,2.21,2.72,6.16,9.38,1.50,0.22,0.18
2012-07-15 01:00:00,-0.04,0.24,0.04,0.01,0.00,0.00,1.98,0.12,8.45,128.36,32.70,5.47,6.16,0.98,0.51,1.69,1.85,7.56,2.30,2.65,5.86,6.25,1.43,0.24,0.09
2012-07-15 02:00:00,-0.05,0.29,0.05,0.01,0.00,0.00,2.15,0.10,9.65,130.46,33.60,5.60,6.25,0.98,0.50,1.72,1.98,7.66,2.49,3.54,5.71,7.81,1.79,0.31,0.20
2012-07-15 03:00:00,-0.04,0.29,0.04,0.01,0.00,0.00,2.14,0.10,9.65,132.05,30.66,5.77,6.42,0.98,0.49,1.76,2.01,7.83,2.48,3.40,6.28,7.81,1.69,0.29,0.32
2012-07-15 04:00:00,-0.04,0.29,0.04,0.01,0.00,0.00,2.15,0.12,8.45,131.47,31.47,6.04,6.67,0.99,0.47,1.97,2.01,8.07,2.45,2.74,6.22,7.81,1.37,0.42,0.40
2012-07-15 05:00:00,-0.05,0.33,0.05,0.01,0.00,0.00,2.29,0.11,9.01,134.87,27.17,6.27,6.87,0.99,0.45,2.35,2.15,8.10,2.54,2.96,6.55,7.03,1.38,0.34,0.35
2012-07-15 06:00:00,-0.04,0.29,0.04,0.01,0.00,0.00,2.15,0.12,8.45,125.98,26.93,6.11,6.82,0.99,0.50,2.25,1.99,8.20,2.59,3.59,6.23,7.82,1.80,0.42,0.25
2012-07-15 07:00:00,-0.04,0.24,0.04,0.01,0.00,0.00,1.96,0.10,9.65,132.72,34.40,5.89,6.47,0.99,0.45,1.76,1.86,7.60,2.29,3.05,6.14,7.03,1.64,0.21,0.07
2012-07-15 08:00:00,-0.04,0.28,0.04,0.01,0.00,0.00,2.14,0.10,10.40,150.16,37.83,6.29,6.99,0.99,0.48,2.04,1.95,8.42,2.43,2.92,6.68,7.81,1.50,0.28,0.21
2012-07-15 09:00:00,-0.04,0.24,0.04,0.01,0.00,0.00,1.98,0.10,9.65,134.03,27.19,5.72,6.34,0.98,0.48,1.88,1.80,7.70,2.17,2.92,6.23,8.60,1.63,0.18,0.12
2012-07-15 10:00:00,-0.04,0.30,0.04,0.01,0.00,0.00,2.19,0.11,9.01,142.15,31.02,6.07,6.63,0.99,0.44,1.94,2.08,8.00,2.52,3.18,6.43,7.82,1.53,0.37,0.29
2012-07-15 11:00:00,-0.04,0.26,0.04,0.01,0.00,0.00,2.06,0.11,9.01,125.02,35.86,5.82,6.41,0.99,0.46,2.05,1.86,7.59,2.34,3.66,5.74,7.81,1.97,0.29,0.27
2012-07-15 12:00:00,-0.05,0.31,0.05,0.01,0.00,0.00,2.24,0.10,9.65,135.57,30.53,6.19,6.78,0.99,0.45,2.23,2.08,7.81,2.54,2.99,6.46,7.81,1.44,0.46,0.29
2012-07-15 13:00:00,-0.04,0.25,0.04,0.01,0.00,0.00,2.01,0.11,9.01,138.65,30.25,5.98,6.53,0.99,0.44,2.17,1.84,7.83,2.37,3.12,6.13,7.03,1.69,0.21,0.19
2012-07-15 14:00:00,-0.03,0.21,0.03,0.01,0.00,0.00,1.85,0.10,9.65,134.28,33.71,5.89,6.51,0.99,0.47,2.13,1.78,7.96,2.27,3.00,6.55,9.37,1.68,0.19,0.15
2012-07-15 15:00:00,-0.04,0.24,0.04,0.01,0.00,0.00,1.95,0.13,7.95,137.48,28.19,6.02,6.58,0.99,0.44,2.12,1.80,7.79,2.15,2.62,6.35,7.03,1.46,0.27,0.16
2012-07-15 16:00:00,-0.04,0.23,0.04,0.01,0.00,0.00,1.94,0.12,8.45,135.60,31.04,6.07,6.59,0.99,0.42,2.11,1.82,7.62,2.25,2.99,6.33,7.81,1.64,0.33,0.23
2012-07-15 17:00:00,-0.03,0.18,0.03,0.01,0.00,0.00,1.71,0.10,9.65,128.66,32.25,5.68,6.21,0.98,0.44,1.68,1.59,7.30,2.00,2.35,6.04,8.60,1.48,0.17,0.15
2012-07-15 18:00:00,-0.03,0.21,0.03,0.01,0.00,0.00,1.82,0.11,9.01,142.44,35.68,5.92,6.46,0.99,0.44,1.78,1.67,7.68,2.04,2.68,6.24,7.03,1.60,0.38,0.18
2012-07-15 19:00:00,-0.03,0.20,0.03,0.01,0.00,0.00,1.77,0.11,9.01,129.65,24.80,5.99,6.62,0.99,0.47,2.16,1.64,7.81,2.12,2.77,6.36,7.03,1.69,0.40,0.21
2012-07-15 20:00:00,-0.03,0.17,0.03,0.01,0.00,0.00,1.67,0.11,9.01,141.29,34.61,5.89,6.51,0.99,0.47,2.05,1.60,7.90,1.91,2.49,6.32,7.03,1.55,0.27,0.17
2012-07-15 21:00:00,-0.03,0.17,0.03,0.00,0.00,0.00,1.64,0.10,9.65,141.65,41.68,5.87,6.49,0.99,0.47,1.84,1.47,7.50,1.78,2.36,6.14,7.82,1.60,0.26,0.30
2012-07-15 22:00:00,-0.02,0.14,0.02,0.00,0.00,0.00,1.50,0.12,8.45,138.72,37.26,5.62,6.19,0.98,0.46,1.86,1.42,7.42,1.71,2.56,6.12,6.25,1.80,0.23,0.13
