date,m-1,m0,m1,m2,m3,m4,hm0,fp,tp,dp,sprp,tm02,tm,e,v,Qp,hs,ts,h10,hmax,tz,thmax,hmaxhs,corr_H,corr_T
2013-06-27 00:00:00,-0.03,0.18,0.03,0.01,0.00,0.00,1.71,0.12,8.45,119.99,33.68,5.51,6.34,0.98,0.57,1.35,1.57,7.77,1.94,2.31,6.13,10.16,1.47,0.13,0.14
2013-06-27 01:00:00,-0.03,0.16,0.03,0.01,0.00,0.00,1.61,0.07,15.02,212.87,32.35,5.40,6.20,0.98,0.57,1.21,1.42,7.44,1.84,2.29,5.45,10.16,1.62,0.18,0.09
2013-06-27 02:00:00,-0.03,0.17,0.03,0.01,0.00,0.00,1.68,0.07,15.02,209.32,29.37,5.41,6.20,0.98,0.56,1.22,1.54,7.62,1.89,2.29,5.78,7.04,1.48,0.15,0.05
2013-06-27 03:00:00,-0.02,0.16,0.02,0.01,0.00,0.00,1.60,0.07,15.02,201.72,30.07,5.56,6.46,0.98,0.59,1.27,1.48,7.70,1.79,2.22,5.74,7.04,1.50,0.11,-0.08
2013-06-27 04:00:00,-0.03,0.16,0.03,0.01,0.00,0.00,1.61,0.07,13.52,209.54,33.30,5.51,6.36,0.98,0.58,1.20,1.41,7.62,1.74,1.99,5.63,11.73,1.41,0.14,0.04
2013-06-27 05:00:00,-0.03,0.19,0.03,0.01,0.00,0.00,1.74,0.07,15.02,197.72,34.71,5.75,6.60,0.98,0.56,1.32,1.55,7.87,1.94,2.79,6.01,9.37,1.80,0.02,-0.03
2013-06-27 06:00:00,-0.03,0.17,0.03,0.01,0.00,0.00,1.66,0.07,15.02,202.61,31.88,5.37,6.21,0.98,0.58,1.14,1.46,7.47,1.88,2.91,5.68,7.81,1.99,0.07,-0.13
2013-06-27 07:00:00,-0.03,0.19,0.03,0.01,0.00,0.00,1.73,0.16,6.44,131.08,38.08,5.22,6.01,0.98,0.57,1.22,1.57,7.40,2.01,2.41,5.55,6.25,1.54,0.07,-0.10
2013-06-27 08:00:00,-0.03,0.18,0.03,0.01,0.00,0.00,1.68,0.13,7.51,135.67,41.10,5.22,6.01,0.98,0.57,1.23,1.53,7.42,1.88,2.39,5.69,6.25,1.57,0.20,0.14
2013-06-27 09:00:00,-0.03,0.16,0.03,0.01,0.00,0.00,1.60,0.07,13.52,200.72,39.13,5.10,5.92,0.98,0.59,1.17,1.45,6.87,1.83,2.15,5.33,10.16,1.49,0.10,0.01
