date,Temp_Out,Hum_Out,Dew_Pt,Wind_Speed,Hi_Speed,Bar,Rain,Rain_Rate
2022-07-26 20:10:00,22.80,85,20.10,0.00,0.40,1021.80,0.00,0.00
2022-07-26 20:20:00,22.80,85,20.10,0.00,0.40,1021.90,0.00,0.00
2022-07-26 20:30:00,22.70,85,20.10,0.40,1.80,1021.80,0.00,0.00
2022-07-26 20:40:00,22.60,85,20.00,0.00,0.40,1022.00,0.00,0.00
2022-07-26 20:50:00,22.70,84,19.80,0.00,0.90,1022.10,0.00,0.00
2022-07-26 21:00:00,22.70,84,19.80,0.00,0.40,1022.10,0.00,0.00
2022-07-26 21:10:00,22.60,84,19.80,0.00,0.40,1022.00,0.00,0.00
2022-07-26 21:20:00,22.60,84,19.80,0.90,2.20,1022.10,0.00,0.00
2022-07-26 21:30:00,22.70,82,19.40,1.30,2.70,1022.20,0.00,0.00
2022-07-26 21:40:00,22.80,82,19.50,2.20,3.60,1022.10,0.00,0.00
2022-07-26 21:50:00,22.70,82,19.50,1.80,3.60,1022.20,0.00,0.00
2022-07-26 22:00:00,22.70,81,19.30,1.80,3.10,1022.20,0.00,0.00
2022-07-26 22:10:00,22.70,82,19.50,1.80,3.10,1022.40,0.00,0.00
2022-07-26 22:20:00,22.70,82,19.40,2.20,3.60,1022.30,0.00,0.00
2022-07-26 22:30:00,22.60,82,19.40,1.80,3.10,1022.40,0.00,0.00
2022-07-26 22:40:00,22.60,83,19.60,1.80,3.10,1022.30,0.00,0.00
2022-07-26 22:50:00,22.60,83,19.50,1.80,3.10,1022.40,0.00,0.00
2022-07-26 23:00:00,22.60,83,19.50,1.30,2.70,1022.30,0.00,0.00
2022-07-26 23:10:00,22.50,84,19.70,1.80,3.10,1022.30,0.00,0.00
2022-07-26 23:20:00,22.40,84,19.60,2.20,3.60,1022.50,0.00,0.00
2022-07-26 23:30:00,22.30,84,19.50,1.80,3.60,1022.50,0.00,0.00
2022-07-26 23:40:00,22.30,85,19.70,1.30,2.20,1022.50,0.00,0.00
2022-07-26 23:50:00,22.30,85,19.60,1.80,3.10,1022.30,0.00,0.00
2022-07-27 00:00:00,22.20,84,19.30,2.70,3.60,1022.30,0.00,0.00
2022-07-27 00:10:00,22.20,85,19.50,2.20,3.60,1022.30,0.00,0.00
2022-07-27 00:20:00,22.10,84,19.30,1.80,3.10,1022.30,0.00,0.00
2022-07-27 00:30:00,22.10,84,19.20,0.90,1.80,1022.30,0.00,0.00
2022-07-27 00:40:00,22.10,85,19.40,0.90,1.30,1022.20,0.00,0.00
2022-07-27 00:50:00,22.10,85,19.40,0.90,1.30,1022.10,0.00,0.00
2022-07-27 01:00:00,22.10,85,19.40,1.30,3.10,1022.10,0.00,0.00
2022-07-27 01:10:00,22.00,85,19.40,1.80,3.10,1022.20,0.00,0.00
2022-07-27 01:20:00,22.00,86,19.50,2.20,3.60,1021.90,0.00,0.00
2022-07-27 01:30:00,21.90,85,19.30,2.20,3.60,1021.90,0.00,0.00
