date,Temp_Out,Hum_Out,Dew_Pt,Wind_Speed,Hi_Speed,Bar,Rain,Rain_Rate
2022-06-20 01:00:00,19.10,89,17.30,1.80,2.70,1021.30,0.00,0.00
2022-06-20 01:10:00,19.00,88,17.00,1.30,2.70,1021.20,0.00,0.00
2022-06-20 01:20:00,19.10,88,17.00,1.30,3.60,1021.20,0.00,0.00
2022-06-20 01:30:00,19.20,87,16.90,2.20,3.60,1021.10,0.00,0.00
2022-06-20 01:40:00,19.10,87,16.90,1.80,4.00,1021.20,0.00,0.00
2022-06-20 01:50:00,19.10,87,16.90,1.30,3.10,1021.10,0.00,0.00
2022-06-20 02:00:00,19.00,87,16.80,1.30,2.70,1021.00,0.00,0.00
2022-06-20 02:10:00,19.10,87,16.80,1.30,1.80,1021.00,0.00,0.00
2022-06-20 02:20:00,18.90,87,16.70,0.90,1.80,1021.00,0.00,0.00
2022-06-20 02:30:00,18.70,88,16.60,0.00,0.40,1021.00,0.00,0.00
2022-06-20 02:40:00,18.50,88,16.50,0.40,0.90,1020.90,0.00,0.00
2022-06-20 02:50:00,18.40,89,16.50,0.40,0.90,1020.90,0.00,0.00
2022-06-20 03:00:00,18.40,89,16.50,0.00,0.40,1020.80,0.00,0.00
2022-06-20 03:10:00,18.30,89,16.50,0.00,0.40,1020.90,0.00,0.00
2022-06-20 03:20:00,18.30,90,16.70,0.40,0.40,1020.80,0.00,0.00
2022-06-20 03:30:00,18.40,90,16.70,0.40,0.90,1020.90,0.00,0.00
2022-06-20 03:40:00,18.60,90,16.90,0.90,1.30,1021.00,0.00,0.00
2022-06-20 03:50:00,18.80,89,16.90,0.90,1.80,1020.80,0.00,0.00
2022-06-20 04:00:00,18.80,89,16.90,0.40,1.30,1020.80,0.00,0.00
2022-06-20 04:10:00,18.80,89,16.90,0.40,0.90,1020.80,0.00,0.00
2022-06-20 04:20:00,18.80,89,17.00,0.90,1.30,1020.80,0.00,0.00
2022-06-20 04:30:00,18.70,89,16.90,0.90,1.80,1020.80,0.00,0.00
2022-06-20 04:40:00,18.70,89,16.80,0.40,0.90,1020.80,0.00,0.00
2022-06-20 04:50:00,18.40,89,16.60,0.40,0.40,1020.60,0.00,0.00
2022-06-20 05:00:00,18.30,89,16.40,0.00,0.40,1020.60,0.00,0.00
2022-06-20 05:10:00,18.40,90,16.70,0.00,0.90,1020.70,0.00,0.00
2022-06-20 05:20:00,18.50,89,16.70,0.90,0.90,1020.70,0.00,0.00
2022-06-20 05:30:00,18.60,89,16.70,0.90,0.90,1020.70,0.00,0.00
2022-06-20 05:40:00,18.50,89,16.70,0.00,0.40,1020.80,0.00,0.00
2022-06-20 05:50:00,18.40,89,16.50,0.00,0.90,1020.90,0.00,0.00
2022-06-20 06:00:00,18.40,89,16.50,0.00,0.90,1021.00,0.00,0.00
2022-06-20 06:10:00,18.40,89,16.60,0.00,0.40,1021.00,0.00,0.00
2022-06-20 06:20:00,18.60,89,16.80,1.30,2.70,1021.10,0.00,0.00
2022-06-20 06:30:00,18.70,89,16.90,2.20,3.10,1021.10,0.00,0.00
2022-06-20 06:40:00,18.70,89,16.90,2.20,3.10,1021.10,0.00,0.00
2022-06-20 06:50:00,18.70,88,16.60,2.20,3.10,1021.30,0.00,0.00
2022-06-20 07:00:00,18.70,88,16.70,2.70,4.50,1021.40,0.00,0.00
2022-06-20 07:10:00,18.70,88,16.60,1.80,3.10,1021.40,0.00,0.00
2022-06-20 07:20:00,18.70,88,16.70,1.80,3.10,1021.40,0.00,0.00
2022-06-20 07:30:00,18.90,88,16.90,2.20,3.10,1021.40,0.00,0.00
2022-06-20 07:40:00,18.80,88,16.80,2.70,3.60,1021.30,0.00,0.00
2022-06-20 07:50:00,18.80,88,16.70,2.20,3.60,1021.60,0.00,0.00
2022-06-20 08:00:00,18.80,87,16.60,2.20,3.10,1021.60,0.00,0.00
2022-06-20 08:10:00,18.80,88,16.80,2.70,3.60,1021.70,0.00,0.00
2022-06-20 08:20:00,18.90,88,16.90,2.70,4.00,1021.90,0.00,0.00
2022-06-20 08:30:00,18.90,88,16.90,3.10,4.50,1021.90,0.00,0.00
2022-06-20 08:40:00,19.00,89,17.10,3.60,4.50,1022.00,0.00,0.00
2022-06-20 08:50:00,18.80,89,17.00,3.60,4.50,1022.00,0.00,0.00
2022-06-20 09:00:00,18.90,89,17.00,2.70,3.60,1022.10,0.00,0.00
2022-06-20 09:10:00,18.80,89,17.00,2.20,4.00,1022.00,0.00,0.00
2022-06-20 09:20:00,18.80,88,16.80,2.20,3.10,1021.90,0.00,0.00
2022-06-20 09:30:00,18.70,89,16.90,2.20,4.00,1022.00,0.00,0.00
2022-06-20 09:40:00,18.70,89,16.90,1.80,3.60,1022.00,0.00,0.00
2022-06-20 09:50:00,18.80,89,16.90,1.80,2.70,1022.00,0.00,0.00
2022-06-20 10:00:00,18.80,88,16.70,1.80,3.10,1022.10,0.00,0.00
2022-06-20 10:10:00,18.90,88,16.90,1.80,4.00,1021.90,0.00,0.00
2022-06-20 10:20:00,19.10,87,16.90,1.80,2.70,1021.90,0.00,0.00
2022-06-20 10:30:00,19.30,87,17.10,1.80,2.70,1021.80,0.00,0.00
2022-06-20 10:40:00,19.30,87,17.10,2.20,4.00,1021.80,0.00,0.00
2022-06-20 10:50:00,19.40,86,17.00,1.80,2.70,1021.60,0.00,0.00
2022-06-20 11:00:00,19.60,86,17.20,1.30,2.20,1021.50,0.00,0.00
2022-06-20 11:10:00,19.80,86,17.40,1.30,1.80,1021.50,0.00,0.00
2022-06-20 11:20:00,20.00,85,17.40,0.90,1.30,1020.90,0.00,0.00
2022-06-20 11:30:00,20.30,85,17.70,1.30,2.70,1020.70,0.00,0.00
2022-06-20 11:40:00,20.40,85,17.80,1.80,2.20,1020.60,0.00,0.00
2022-06-20 11:50:00,20.40,85,17.80,2.20,3.10,1020.50,0.00,0.00
2022-06-20 12:00:00,20.70,85,18.10,1.30,2.20,1020.40,0.00,0.00
2022-06-20 12:10:00,21.00,84,18.20,1.30,1.80,1020.20,0.00,0.00
2022-06-20 12:20:00,21.20,83,18.20,0.90,1.80,1020.00,0.00,0.00
2022-06-20 12:30:00,21.60,82,18.40,0.90,0.90,1019.80,0.00,0.00
2022-06-20 12:40:00,22.40,82,19.20,0.40,0.90,1019.80,0.00,0.00
2022-06-20 12:50:00,22.70,76,18.30,0.40,1.80,1019.50,0.00,0.00
2022-06-20 13:00:00,22.80,78,18.70,1.80,3.10,1019.40,0.00,0.00
2022-06-20 13:10:00,22.80,79,18.90,1.80,3.10,1019.40,0.00,0.00
2022-06-20 13:20:00,22.80,78,18.70,0.90,2.20,1019.10,0.00,0.00
2022-06-20 13:30:00,23.10,78,19.00,0.40,2.20,1018.90,0.00,0.00
2022-06-20 13:40:00,23.10,78,19.00,1.30,2.20,1018.80,0.00,0.00
2022-06-20 13:50:00,23.20,78,19.10,0.90,1.80,1018.80,0.00,0.00
2022-06-20 14:00:00,23.30,77,19.00,0.90,1.80,1018.50,0.00,0.00
2022-06-20 14:10:00,23.40,77,19.10,1.30,2.70,1018.40,0.00,0.00
2022-06-20 14:20:00,23.70,75,19.00,0.90,3.10,1018.50,0.00,0.00
2022-06-20 14:30:00,23.30,77,19.10,2.20,4.50,1018.50,0.00,0.00
2022-06-20 14:40:00,23.30,78,19.20,1.80,4.00,1018.50,0.00,0.00
2022-06-20 14:50:00,23.40,77,19.20,1.80,3.60,1018.60,0.00,0.00
2022-06-20 15:00:00,23.30,78,19.30,2.70,4.50,1018.60,0.00,0.00
2022-06-20 15:10:00,23.30,79,19.50,1.80,4.00,1018.60,0.00,0.00
2022-06-20 15:20:00,23.00,81,19.60,2.20,4.50,1018.70,0.00,0.00
2022-06-20 15:30:00,23.00,82,19.80,2.20,4.90,1018.70,0.00,0.00
2022-06-20 15:40:00,23.00,81,19.60,1.30,4.00,1018.70,0.00,0.00
2022-06-20 15:50:00,23.00,81,19.60,0.90,2.20,1018.80,0.00,0.00
2022-06-20 16:00:00,22.90,82,19.70,0.90,2.70,1018.80,0.00,0.00
2022-06-20 16:10:00,22.90,82,19.70,0.90,1.80,1018.80,0.00,0.00
2022-06-20 16:20:00,22.90,83,19.80,0.90,2.70,1018.80,0.00,0.00
2022-06-20 16:30:00,22.80,84,19.90,1.30,2.70,1018.90,0.00,0.00
2022-06-20 16:40:00,22.70,84,19.90,0.90,3.10,1019.10,0.00,0.00
2022-06-20 16:50:00,22.80,84,19.90,1.30,2.70,1019.20,0.00,0.00
2022-06-20 17:00:00,22.80,85,20.10,0.90,2.70,1019.20,0.00,0.00
2022-06-20 17:10:00,22.60,85,20.00,0.90,1.80,1019.10,0.00,0.00
2022-06-20 17:20:00,22.60,85,20.00,0.90,2.20,1019.10,0.00,0.00
2022-06-20 17:30:00,22.60,85,20.00,0.40,1.80,1018.70,0.00,0.00
2022-06-20 17:40:00,22.60,85,20.00,0.40,1.30,1018.60,0.00,0.00
2022-06-20 17:50:00,22.60,84,19.80,0.40,1.30,1018.50,0.00,0.00
2022-06-20 18:00:00,22.70,86,20.30,1.30,3.10,1018.80,0.00,0.00
2022-06-20 18:10:00,22.60,87,20.30,1.80,2.70,1018.90,0.00,0.00
2022-06-20 18:20:00,22.50,86,20.00,1.80,2.70,1018.90,0.00,0.00
2022-06-20 18:30:00,22.40,86,19.90,2.70,3.10,1019.00,0.00,0.00
2022-06-20 18:40:00,22.40,86,19.90,2.20,3.10,1018.90,0.00,0.00
2022-06-20 18:50:00,22.40,86,19.90,0.90,2.20,1018.90,0.00,0.00
2022-06-20 19:00:00,22.40,86,19.90,0.90,1.80,1019.00,0.00,0.00
2022-06-20 19:10:00,22.30,85,19.60,0.40,1.30,1019.30,0.00,0.00
2022-06-20 19:20:00,22.40,85,19.70,0.40,0.90,1019.50,0.00,0.00
2022-06-20 19:30:00,22.30,85,19.70,0.40,0.90,1019.40,0.00,0.00
2022-06-20 19:40:00,22.30,85,19.70,0.40,0.90,1019.50,0.00,0.00
2022-06-20 19:50:00,22.30,86,19.90,0.00,0.40,1019.60,0.00,0.00
2022-06-20 20:00:00,22.10,86,19.60,0.00,0.40,1019.60,0.00,0.00
2022-06-20 20:10:00,21.90,86,19.40,0.00,0.40,1019.60,0.00,0.00
2022-06-20 20:20:00,21.80,87,19.50,0.40,0.90,1019.70,0.00,0.00
2022-06-20 20:30:00,21.80,87,19.60,0.40,0.90,1019.50,0.00,0.00
2022-06-20 20:40:00,21.90,88,19.80,0.40,0.90,1019.40,0.00,0.00
2022-06-20 20:50:00,21.80,89,19.90,0.00,0.40,1019.30,0.00,0.00
2022-06-20 21:00:00,21.70,89,19.80,0.40,0.40,1019.40,0.00,0.00
2022-06-20 21:10:00,21.50,90,19.80,0.40,0.90,1019.70,0.00,0.00
2022-06-20 21:20:00,21.50,90,19.80,0.90,1.30,1019.70,0.00,0.00
